1218175;Bacillus thuringiensis HD-771(no rank)	0.000000000	0.000124425
1217984;Bacillus cereus FRI-35(no rank)	0.000000000	0.000700711
1217737;Bacillus thuringiensis HD-789(no rank)	0.000000000	0.000065487
1195464;Bacillus thuringiensis MC28(no rank)	0.000000000	0.000340533
1193576;Staphylococcus aureus subsp. aureus CN1(no rank)	0.000000000	0.000203010
1155084;Staphylococcus aureus subsp. aureus 71193(no rank)	0.000000000	0.000006549
1134454;Cutibacterium acnes HL096PA1(no rank)	0.000000000	0.000039292
1114969;Cutibacterium acnes TypeIA2 P.acn31(no rank)	0.000000000	0.000013097
1114967;Cutibacterium acnes TypeIA2 P.acn17(no rank)	0.000000000	0.000013097
1114966;Cutibacterium acnes TypeIA2 P.acn33(no rank)	0.000000000	0.000039292
1100841;Acinetobacter baumannii TYTH-1(no rank)	0.000000000	0.000039292
1096997;Acinetobacter baumannii BJAB0868(no rank)	0.000000000	0.000039292
1096996;Acinetobacter baumannii BJAB0715(no rank)	0.000000000	0.000288143
1096995;Acinetobacter baumannii BJAB07104(no rank)	0.000000000	0.000275046
1031709;Cutibacterium acnes 6609(no rank)	0.000000000	0.000013097
1006543;Staphylococcus aureus subsp. aureus T0131(no rank)	0.000000000	0.000242302
